Seed,Char,ASCII
"﻿""Gibson looks up at", ,32
"""Gibson looks up at ",h,104
Gibson looks up at h,i,105
ibson looks up at hi,m,109
bson looks up at him,.,46
son looks up at him., ,32
on looks up at him. ,T,84
n looks up at him. T,o,111
 looks up at him. To,m,109
looks up at him. Tom,m,109
ooks up at him. Tomm,y,121
oks up at him. Tommy, ,32
ks up at him. Tommy ,s,115
s up at him. Tommy s,h,104
 up at him. Tommy sh,r,114
up at him. Tommy shr,u,117
p at him. Tommy shru,g,103
 at him. Tommy shrug,s,115
at him. Tommy shrugs,",",44
"t him. Tommy shrugs,", ,32
" him. Tommy shrugs, ",g,103
"him. Tommy shrugs, g",e,101
"im. Tommy shrugs, ge",s,115
"m. Tommy shrugs, ges",t,116
". Tommy shrugs, gest",u,117
" Tommy shrugs, gestu",r,114
"Tommy shrugs, gestur",e,101
"ommy shrugs, gesture",s,115
"mmy shrugs, gestures", ,32
"my shrugs, gestures ",f,102
"y shrugs, gestures f",o,111
" shrugs, gestures fo",r,114
"shrugs, gestures for", ,32
"hrugs, gestures for ",G,71
"rugs, gestures for G",i,105
"ugs, gestures for Gi",b,98
"gs, gestures for Gib",s,115
"s, gestures for Gibs",o,111
", gestures for Gibso",n,110
 gestures for Gibson,',39
gestures for Gibson',s,115
estures for Gibson's, ,32
stures for Gibson's ,w,119
tures for Gibson's w,a,97
ures for Gibson's wa,t,116
res for Gibson's wat,e,101
es for Gibson's wate,r,114
s for Gibson's water, ,32
 for Gibson's water ,c,99
for Gibson's water c,a,97
or Gibson's water ca,n,110
r Gibson's water can,.,46
 Gibson's water can., ,32
Gibson's water can. ,G,71
ibson's water can. G,i,105
bson's water can. Gi,b,98
son's water can. Gib,s,115
on's water can. Gibs,o,111
n's water can. Gibso,n,110
's water can. Gibson, ,32
s water can. Gibson ,h,104
 water can. Gibson h,a,97
water can. Gibson ha,n,110
ater can. Gibson han,d,100
ter can. Gibson hand,s,115
er can. Gibson hands, ,32
r can. Gibson hands ,i,105
 can. Gibson hands i,t,116
can. Gibson hands it, ,32
an. Gibson hands it ,o,111
n. Gibson hands it o,v,118
. Gibson hands it ov,e,101
 Gibson hands it ove,r,114
Gibson hands it over, ,32
ibson hands it over ,a,97
bson hands it over a,n,110
son hands it over an,d,100
on hands it over and, ,32
n hands it over and ,T,84
 hands it over and T,o,111
hands it over and To,m,109
ands it over and Tom,m,109
nds it over and Tomm,y,121
ds it over and Tommy, ,32
s it over and Tommy ,t,116
 it over and Tommy t,a,97
it over and Tommy ta,k,107
t over and Tommy tak,e,101
 over and Tommy take,s,115
over and Tommy takes, ,32
ver and Tommy takes ,a,97
er and Tommy takes a, ,32
r and Tommy takes a ,S,83
 and Tommy takes a S,W,87
and Tommy takes a SW,I,73
nd Tommy takes a SWI,G,71
d Tommy takes a SWIG,",",44
" Tommy takes a SWIG,", ,32
"Tommy takes a SWIG, ",c,99
"ommy takes a SWIG, c",a,97
"mmy takes a SWIG, ca",r,114
"my takes a SWIG, car",e,101
"y takes a SWIG, care",f,102
" takes a SWIG, caref",u,117
"takes a SWIG, carefu",l,108
"akes a SWIG, careful",l,108
"kes a SWIG, carefull",y,121
"es a SWIG, carefully", ,32
"s a SWIG, carefully ",C,67
" a SWIG, carefully C",A,65
"a SWIG, carefully CA",T,84
" SWIG, carefully CAT",C,67
"SWIG, carefully CATC",H,72
"WIG, carefully CATCH",I,73
"IG, carefully CATCHI",N,78
"G, carefully CATCHIN",G,71
", carefully CATCHING", ,32
 carefully CATCHING ,d,100
carefully CATCHING d,r,114
arefully CATCHING dr,o,111
refully CATCHING dro,p,112
efully CATCHING drop,s,115
